Customer does not assign to website,Klient nie jest przypisany do strony internetowej
Payment Method,Metoda płatności
This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.,Ten poziom jest przypisany do %1 klienta(ów). Prosimy o przeniesienie klienta(ów) na inny poziom .
You Spend Points,Wydajesz punkty
Spend Amount,Wydana Kwota
Spend Minimum Points,Minimalnie punktów do wydania
Spend Maximum Points,Maksymalnie punktów do wydania
Cannot delete tier with id %1,Nie można usunąć poziomu z id %1
"Unable to find tier for customer ""%1"". Please check tier configuration.","Nie można znaleźć poziomu klienta ""%1"";. Proszę sprawdzić konfigurację poziomu."
Customer Earning Style,Styl zdobywania punktów
Number of Points (X),Liczba punktów (X)
Step (Y),Krok (Y)
In base currency,W walucie podstawowej
Quantity Step (Z),Ilość kroków (Z)
Maximum number of earned points for one customer per day,Maksymalna liczba zdobytych punktów dla jednego klienta na dzień
Set 0 to disable limit,"Ustaw 0, aby wyłączyć limit"
Do not change,Nie zmieniaj
Assign customer to Group,Przypisz klienta do grupy
Earn Maximum,Zdobądź Maksymalnie
You can enter amount of points or percent. Leave empty to disable.,"Możesz wprowadzić ilość punktów lub procentów. Zostaw puste, aby wyłączyć."
Maximum Distributed Points,Maksymalna ilość rozprowadzonych punktów
Tiers,Poziomy
%1 for each $%2,%1 za każde $%2
All Groups,Wszystkie grupy
Actions,Działania
Points spending style,Styl wydatkowania punktów
For each spent X points,Za każde wydane X punktów
Number of points.,Liczba punktów.
Customer receive Y discount,Klient otrzymuje zniżkę Y
You can enter amount in base currency or percent. e.g. 100 or 5%.,"Możesz wpisać kwotę w walucie podstawowej lub procentach, np. 100 lub 5%."
You can enter amount of points or percent. e.g. 100 or 5%. Leave empty to disable.,"Możesz wprowadzić ilość punktów lub procentów, np. 100 lub 5%. Zostaw puste, aby wyłączyć."
Spend minimum,Użyj co najmniej
Spend maximum,Użyj maksymalnie
Minimum sum of spent %1,Minimalna ilość wydanych %1
Minimum points number to reach the tier,Minimalna liczba punktów do osiągnięcia poziomu
"Delete the record with ID ""%1""","Usuń dane o ID ""%1"""
"Are you sure you wan't to delete the record with ID ""%1""?","Jesteś pewien, że chcesz usunąć dane o ID ""%1""?"
Anonymous visitor,Anonimowy odwiedzający
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","Twój obecny poziom to <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Zdobądź <b>%1</b>, aby awansować do <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","Wydaj <b>%1</b>, aby awansować do <a class=""open-popup""><b>%2</b></a>"
in 1 day,w ciągu 1 dnia
1 day ago,1 dzień temu
Earn %1,Zdobądź %1
Earned %1 for the order #%2.,Zarobione %1 za zamówienie #%2.
Spent %1 for the order #%2.,Wydano %1 na zamówienie #%2.
Restore spent %1 for the order #%2.,Przywróć wydane %1 na zamówienie #%2.
Cancel earned %1 for the order #%2.,Anuluj zdobyte %1 za zamówienie #%2.
"Refunded %1 (creditmemo #%2, order #%3).","Zwrócono %1 (creditmemo #%2, zamówienie #%3)."
Will expire %1,Wygasa %1
Expired,Wygasłe
Active,Aktywne
Points are expired,Punkty wygasły
Will be ready for use %1,Możliwe do użycia %1
We subscribed you on expiring points notification.,Będziemy Cię informować o wygasających punktach.
Possible discount %1,Możliwa zniżka %1
Subtotal,Suma częściowa
Rewards Discount,Zniżka za punkty lojalnościowe
Field 'Spend maximum' can not be less or equal then field 'Spend minimum',"Wartość pola ""Użyj maksymalnie"", nie może być mniejsza niż ""Użyj co najmniej"""
Field 'For each spent X points' should be integer,Wartość pola „Za każde wydane X punktów” musi być liczbą całkowitą
Rewards discount,Zniżka za punkty lojalnościowe
Cannot delete rule with id %1,Nie można usunąć reguły o identyfikatorze %1
To subscribe to points expiring notification click %1,"Kliknij tutaj: %1, aby włączyć powiadomienia o wygasających punktach"
Status Description,Opis
"Checkout now and earn <b class='message-earn-points-label'>%1</b> for this order.","Zamów teraz i otrzymaj <b class='message-earn-points-label'>%1</b> za to zamówienie.""Cannot apply %1. %2 %3","Nie można zastosować %1. %2 %3"
"%1 were cancelled.","%1 zostały anulowane."
"Customer creates RMA","Klient tworzy RMA"
"Use Magento settings","Użyj ustawień Magento"
"After Tax","Po odliczeniu podatku"
"Additional Product Attribute","Dodatkowy atrybut produktu"
"Additional Payment Method","Dodatkowa metoda płatności"
Reasons,Powody
Conditions,Warunki
Resolutions,Uchwały
Statuses,Statusy
"Apply to items","Zastosuj do przedmiotów"
"Apply to totals","Zastosuj do sum"
"Rewards Refunded","Nagrody zwrócone"
"Send notification before points expires (in days)","Wyślij powiadomienie przed wygaśnięciem punktów (za dni)"
"Cancel the earned points after the order has been refunded","Anuluj zdobyte punkty po dokonaniu zwrotu pieniędzy za zamówienie"
"Restore the points spent after the order has been refunded","Przywróć punkty wydane po zwrocie zamówienia"
"Allow to display maximum number of possible points for configurable products.","Pozwól, aby wyświetlić maksymalną liczbę możliwych punktów dla produktów konfigurowalnych."
"Send notification before points expires(in days)","Wyślij powiadomienie przed wygaśnięciem punktów (za dni)"
"In determining tiers, take into account, it only lasts for N days","Przy określaniu poziomów należy wziąć pod uwagę, że trwa ono tylko przez N dni"
"Show pending transactions in the customer's account","Pokaż oczekujące transakcje na koncie klienta"
"Use this option to explain to your customer why the Rewards spending block isn't displaying in checkout","Skorzystaj z tej opcji, aby wyjaśnić klientowi, dlaczego blok wydatków Rewards nie jest wyświetlany w kasie"
"If the theme overrides Magento way of including styles, this option will add extension's styles to the page","Jeśli motyw zastępuje sposób dołączania stylów Magento, ta opcja doda style rozszerzenia do strony"
"Cannot apply %1. %2 %3","Nie można zastosować %1. %2 %3"
"In some configuration, the method 'Apply to items' may have a slight error in calculation","W niektórych konfiguracjach metoda „Zastosuj do pozycji” może mieć niewielki błąd w obliczeniach"
"For detailed explanation, see the <a href='http://docs.mirasvit.com/module-rewards/current/rules/custom' target='_blank'>documentation</a>","Szczegółowe wyjaśnienia znajdują się w <a href='http://docs.mirasvit.com/module-rewards/current/rules/custom' target='_blank'>dokumentacji</a>"
"Minimum points number to reach each tier","Minimalna liczba punktów do osiągnięcia każdego poziomu"
